jop_title,Company,address,jop_type
Driver,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time
Sales Account Manager,IT Planet for Digital Service -,"New Heliopolis, Cairo, Egypt ",Full Time
Plant Maintenance Manager,Spice kingdom  -,"Obour City, Cairo, Egypt ",Full Time
Project Manager - Finishing Works (Flooring and Marble Installation),Pannelli -,"Cairo, Egypt ",Full Time
Script Writer,Creative Motion -,"Maadi, Cairo, Egypt ",Full Time
Data Entry,Millensys -,"New Cairo, Cairo, Egypt ",Freelance / Project
Senior QC Engineer - Software Tester,Lumin -,"Sheikh Zayed, Giza, Egypt ",Full Time
Agile Coach,Lumin -,"Sheikh Zayed, Giza, Egypt ",Full Time
Senior General Accountant,EMECO General Contracting Co. -,"Cairo, Egypt ",Full Time
Import & Export Manager,ALAS HOME -,"New Cairo, Cairo, Egypt ",Full Time
Sales Account Manager,Spice kingdom  -,"Obour City, Cairo, Egypt ",Full Time
Senior project control engineer,EAST  -,"Maadi, Cairo, Egypt ",Full Time
Warehouse Specialist,ALAS HOME -,"New Cairo, Cairo, Egypt ",Full Time
Inventory Control Specialist,Rockal -,"Nasr City, Cairo, Egypt ",Full Time
Sales Account Manager,SABA -,"Heliopolis, Cairo, Egypt ",Full Time
Bilingual Content Creator and Copywriter,Misr University for Science and Technology -,"6th of October, Giza, Egypt ",Full Time
Jr Accountant,EGEC Qatar for Engineering Consultations -,"Doha, Qatar ",Full Time
Software Quality Control Engineer,SURE International Technology -,"Nasr City, Cairo, Egypt ",Full Time
Administrative Coordinator,Wadi Degla Trading  -,"Cairo, Egypt ",Full Time
HR Officer,Ayman Shahin Group -,"10th of Ramadan City, Cairo, Egypt ",Full Time
Real Estate Sales,Platinum Properties for real estate services -,"New Cairo, Cairo, Egypt ",Full Time
Sales Director - Real Estate,Beta Egypt -,"Heliopolis, Cairo, Egypt ",Full Time
Non-voice Mail&Chat {Fluent English speakers} Etisalat UAE,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
Customer Service Representative - Vodafone UK and Ireland- English Account,_VOIS Egypt -,"Cairo, Egypt ",Full Time
Senior Content Creator,Seldar Egypt -,"New Cairo, Cairo, Egypt ",Full Time
Payable Accountant,AFI FOOD -,"Obour City, Cairo, Egypt ",Full Time
Call Center Agent,Lasirena Group -,"Maadi, Cairo, Egypt ",Full Time
Biomedical Engineer,Misr International Hospital -,"Dokki, Giza, Egypt ",Full Time
Senior Media Buyer,ECC Group -,"Nasr City, Cairo, Egypt ",Full Time
Account manager,The Planet -,"6th of October, Giza, Egypt ",Full Time
Business Development Manager,Terraco Egypt -,"Cairo, Egypt ",Full Time
Lab Technician,GEMS Education -,"Rehab City, Cairo, Egypt ",Full Time
Non Medical Buyer,Cleopatra Hospitals Group -,"Maadi, Cairo, Egypt ",Full Time
Sales Engineer,African Trade & Contracting -,"Giza, Egypt ",Full Time
External Purchasing Specialist,African Trade & Contracting -,"Cairo, Egypt ",Full Time
Technical Office Engineer - Steel Structure,African Trade & Contracting -,"Cairo, Egypt ",Full Time
Solar Energy Sales Engineer,African Trade & Contracting -,"Faisal, Giza, Egypt ",Full Time
Solar Energy Technical Office & Design Engineer,African Trade & Contracting -,"Giza, Egypt ",Full Time
Senior Sales,dejavu -,"Cairo, Egypt ",Full Time
OD and Talent Management Specialist,Confidential -,"New Cairo, Cairo, Egypt ",Full Time
Executive Secretary,Bakier -,"Maadi, Cairo, Egypt ",Full Time
Business Developer,Confidential -,"Cairo, Egypt ",Part Time
Accountant,The Planet -,"6th of October, Giza, Egypt ",Full Time
Teaching Assistants,Windrose Academy -,"Katameya, Cairo, Egypt ",Full Time
Sales Engineer Manager,Egypt for Panel and Steel Industries S.A.E -,"Cairo, Egypt ",Full Time
Marketing Coordinator,Sparks preschool -,"New Cairo, Cairo, Egypt ",Full Time
AP Accountant,Nile University -,"Sheikh Zayed, Giza, Egypt ",Full Time
Compensation & Benefits Senior Specialist,Premium Card -,"Dokki, Giza, Egypt ",Full Time
Shift Leader,Maddy's  -,"New Cairo, Cairo, Egypt ",Full Time
Air Freight Coordinator,Unisas International Freight  -,"Cairo, Egypt ",Full Time
Sea Freight Coordinator,Unisas International Freight  -,"Cairo, Egypt ",Full Time
Public Relations Coordinator,Egypt University of Informatics (EUI) -,"New Capital, Cairo, Egypt ",Full Time
Administrative Supervisor,Ayman Shahin Group -,"10th of Ramadan City, Cairo, Egypt ",Full Time
Customer Service Manager,UAIS -,"New Cairo, Cairo, Egypt ",Full Time
Senior Database Admin,Aman -,"Maadi, Cairo, Egypt ",Full Time
fresh graduated accountant,المؤسسه الدوليه للتوريدات -,"Haram, Giza, Egypt ",Full Time
Graphic Designer,OPPO Egypt  -,"Nasr City, Cairo, Egypt ",Full Time
Technical Customer Support Representative,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
Property Sales,Platinum Properties for real estate services -,"New Cairo, Cairo, Egypt ",Full Time
Real Estate Sales Agent,G.O.A.T REAL ESTATE CONSULTING -,"New Cairo, Cairo, Egypt ",Full Time
Electrical Maintenance Engineer,Masria Digital Payment (MDP) -,"Sharqia, Egypt ",Full Time
Electrical Sales Engineer,El Saad Electric -,"Heliopolis, Cairo, Egypt ",Full Time
Sales Account Manager,Hub Holding -,"Cairo, Egypt ",Full Time
Welding Engineer,Ferrometalco steel construction -,"Belbes, Sharqia, Egypt ",Full Time
Sales Executive,شركه الحطيب الهندي  -,"Qasr ِAlnil, Cairo, Egypt ",Full Time
Accounting Manager,Confidential -,"10th of Ramadan City, Sharqia, Egypt ",Full Time
Criminal Lawyer,Yassien & Partners Law Firm  -,"Mohandessin, Giza, Egypt ",Full Time
Wholesale Sales Representative,CADORE EG -,"New Cairo, Cairo, Egypt ",Full Time
Garments Merchandiser,PVH -,"Cairo, Egypt ",Full Time
Denim Wash Expert,PVH -,"Cairo, Egypt ",Full Time
Product Improvement Technologist (PIT),PVH -,"Cairo, Egypt ",Full Time
Customer Service Assistant,EGS LLC -,"Nasr City, Cairo, Egypt ",Full Time
Test Engineer,Confidential -,"10th of Ramadan City, Cairo, Egypt ",Full Time
Accountant,Alaqssa -,"Nasr City, Cairo, Egypt ",Full Time
Global Perspective Teacher,Confidential -,"New Cairo, Cairo, Egypt ",Full Time
Electrical Maintenance Engineer,Kandil Steel -,"10th of Ramadan City, Cairo, Egypt ",Full Time
Senior Property Conslutant,ASA Developments  -,"Giza, Giza, Egypt ",Full Time
Marketing Specialist,Confidential -,"Gharbia, Egypt ",Full Time
Office Administrator,Emeco Travel  -,"Downtown, Cairo, Egypt ",Full Time
IT Audit Specialist,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt ",Full Time
Medical Representative -Cairo (Zeitoune-Zawya-Hadyak el qoba),dkt Egypt -,"Hadayek Alkobba, Cairo, Egypt ",Full Time
Planning Engineer (Al Sadat),M&A Glass Processing Company -,"Alsadat City, Monufya, Egypt ",Full Time
IT Audit Supervisor,Aman -,"Maadi, Cairo, Egypt ",Full Time
Referral coordinator,Mersal  -,"Maadi, Cairo, Egypt ",Full Time
Dispatch Agent,aDispatcher -,"Agouza, Giza, Egypt ",Full Time
Clinics Coordinator,Mersal  -,"Maadi, Cairo, Egypt ",Full Time
FMCG Sales Supervisor,Marbella For Food Industry  -,"Giza, Egypt ",Full Time
General Accountant,TRAVCO GROUP -,"Sheikh Zayed, Giza, Egypt ",Full Time
Validation Supervisor,AUG Pharma -,"6th of October, Giza, Egypt ",Full Time
Call Center Agent,Mersal  -,"Maadi, Cairo, Egypt ",Full Time
Social Media Moderator,OPPO Egypt  -,"Nasr City, Cairo, Egypt ",Full Time
IT Audit Manager,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt ",Full Time
Mechanical Engineer,first fix -,"Nasr City, Cairo, Egypt ",Full Time
Telecommunication Engineer,Smart Station Solutions  -,"Sheikh Zayed, Giza, Egypt ",Full Time
CAD Rhino Jewelry Designer,L'azurde for Jewelry -,"Obour City, Cairo, Egypt ",Full Time
Light Current Engineer,Dar El khebra For Commercial Agencies -,"Nasr City, Cairo, Egypt ",Full Time
Electrical Engineer,first fix -,"Cairo, Egypt ",Full Time
IPC Specialist,AUG Pharma -,"6th of October, Giza, Egypt ",Full Time
Medical Representative -Mansoura- Dakahlia,dkt Egypt -,"Mansoura, Dakahlia, Egypt ",Full Time
Architecture Technical Office Engineer,IVEC Contracting -,"New Cairo, Cairo, Egypt ",Full Time
Cost Accountant,National Paints -,"Obour City, Cairo, Egypt ",Full Time
Facility & Administration Specialist,T&D Design -,"New Cairo, Cairo, Egypt ",Full Time
International Account Advisor - Technical support - Vodafone UK,_VOIS Egypt -,"Smart Village, Giza, Egypt ",Full Time
Customer Care - Vodafone UK - Fluent English Speaker,_VOIS Egypt -,"Smart Village, Giza, Egypt ",Full Time
Estimation & Tendering Manager,Integrated EG -,"New Cairo, Cairo, Egypt ",Full Time
Financial Analyst,EGMED -,"Heliopolis, Cairo, Egypt ",Full Time
Senior Front-End Developer,Youxel -,"Cairo, Egypt ",Full Time
System Administrator,Premium Card -,"Dokki, Giza, Egypt ",Full Time
Technical Office Manager,CUBES EGYPT -,"New Cairo, Cairo, Egypt ",Full Time
"Monitoring, Evaluation, and Learning (MEL) Officer",El Sewedy Technical Academy -,"New Cairo, Cairo, Egypt ",Full Time
Sales Representative ( Corporate ),Premium Card -,"Cairo, Egypt ",Full Time
Sales Representative,abc properties -,"Abu Dhabi, United Arab Emirates ",Full Time
Customer Service Representative - Inbound ( Cairo & Alex ),Premium Card -,"Dokki, Giza, Egypt ",Full Time
Service Network Planner,LG Electronics -,"Katameya, Cairo, Egypt ",Full Time
IT- Technical Support,Premium Card -,"Giza, Egypt ",Full Time
Fashion pattern maker,Abaya Noir -,"Shubra, Cairo, Egypt ",Full Time
Showroom Sales Promoter,Confidential -,"Giza, Giza, Egypt ",Full Time
Electrical Site Engineer (Senior),Protection -,"Sheikh Zayed, Giza, Egypt ",Full Time
Technical Office Architect,Green Line For Glass Metal Architecture -,"Nasr City, Cairo, Egypt ",Full Time
Real Estate Accountant,Confidential -,"New Cairo, Cairo, Egypt ",Full Time
Account Activation Executive,Premium Card -,"Dokki, Giza, Egypt ",Full Time
Merchants Campaign Executive,Premium Card -,"Dokki, Giza, Egypt ",Full Time
Office Manager,Elsewedy industries -,"New Cairo, Cairo, Egypt ",Full Time
Graphic Designer,Digitalmate -,"Nasr City, Cairo, Egypt ",Full Time
Content Creator Specialist,Digitalmate -,"Nasr City, Cairo, Egypt ",Full Time
SEO Specialist,Digitalmate -,"Nasr City, Cairo, Egypt ",Full Time
Business Development Specialist,Premier Services and Recruitment Overseas  -,"Maadi, Cairo, Egypt ",Full Time
Refrigeration and air conditioning engineer,Economic Group  -,"Qaha, Qalubia, Egypt ",Full Time
Pharmaceutical Procurement Specialist (Pharmaceutical Ingredients),IBE Pharma -,"Cairo, Egypt ",Full Time
Secretary - PA,IBE Pharma -,"Nasr City, Cairo, Egypt ",Full Time
Sales Representative - Pharmaceutical ingredients & Food Ingredients,IBE Pharma -,"Cairo, Egypt ",Full Time
Senior Scrum Master,Lumin -,"Sheikh Zayed, Giza, Egypt ",Full Time
Sales Specialist - B2B,Confidential -,"Alexandria, Egypt ",Full Time
Front Desk Specialist,Elite Education Group -,"New Cairo, Cairo, Egypt ",Full Time
Project Senior Instrumentation & Control Engineer,Saint-Gobain -,"Ain Sokhna, Suez, Egypt ",Freelance / Project
Restaurant and Cafe purchasing Manager,Confidential -,"Nasr City, Cairo, Egypt ",Full Time
Local Purchasing Section Head,Goldentex -,"10th of Ramadan City, Sharqia, Egypt ",Full Time
Production Planner,Goldentex -,"10th of Ramadan City, Sharqia, Egypt ",Full Time
Sales Representative,Together FM -,"New Cairo, Cairo, Egypt ",Full Time
Site Architect Engineer,Emaco for General Contracting and Air Conditioning -,"New Cairo, Cairo, Egypt ",Full Time
Coating Manager,Confidential -,"Salam City, Cairo, Egypt ",Full Time
Production Engineer,Multi M Group  -,"khanka, Qalubia, Egypt ",Full Time
Storekeeper,AluNile -,"6th of October, Giza, Egypt ",Full Time
Sales Representative,Confidential -,"New Cairo, Cairo, Egypt ",Full Time
Senior Motion & Graphic Designer,◌ِ تايكون للتداول في الاوراق الماليه - Tycoon securities  -,"Heliopolis, Cairo, Egypt ",Full Time
Account Manager,Digitalmate -,"Nasr City, Cairo, Egypt ",Full Time
Social Media Specialist,Digitalmate -,"Nasr City, Cairo, Egypt ",Full Time
Procurement Engineer,ATEC -,"Maadi, Cairo, Egypt ",Full Time
Senior Social Media Specialist,◌ِ تايكون للتداول في الاوراق الماليه - Tycoon securities  -,"Heliopolis, Cairo, Egypt ",Full Time
Senior Content Creator,◌ِ تايكون للتداول في الاوراق الماليه - Tycoon securities  -,"Heliopolis, Cairo, Egypt ",Full Time
Cost control Supervisor,IGI-Group -,"Sheikh Zayed, Giza, Egypt ",Full Time
Service Engineer - Alexandria,Digitec  -,"Alexandria, Egypt ",Full Time
Legal Affairs Manager,Xeed Corp -,"Sheikh Zayed, Giza, Egypt ",Full Time
Sales Manager,Confidential -,"Alexandria, Egypt ",Full Time
Accountant,Erpplus5 -,"Maadi, Cairo, Egypt ",Full Time
English Language Instructor,English LIVE -,"Cairo, Egypt ",Freelance / Project
Chemical Engineer,Confidential -,"Cairo, Egypt ",Freelance / Project
Sales Representative,Eurotec -,"Giza, Egypt ",Full Time
Entry-Level Cost Controller / Production Floor Accountant - Saudi Market Focused,Confidential -,"Riyadh, Saudi Arabia ",Full Time
Entry-Level Cost Controller / Production Floor Accountant,Confidential -,"Cairo, Egypt ",Full Time
Sales Representative,Confidential -,"Cairo, Egypt ",Full Time
Non-Voice {Mail&Chat} b2 English speakers Etisalat UAE,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
Customer Service Representative - Vodafone Ireland,_VOIS Egypt -,"Cairo, Egypt ",Full Time
Deputy General Manager,Al Agha -,"Dokki, Giza, Egypt ",Full Time
Back Office Agent (Mail&Chat) b2 English speakers,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
Production Manager,Gest For Metals  -,"10th of Ramadan City, Sharqia, Egypt ",Full Time
Digital Marketing Supervisor,Nugget Tours -,"Downtown, Cairo, Egypt ",Full Time
Chat & Emails| Backoffice Agent |Etisalat UAE|Graduates,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time
Junioer Application Developer,Xceed Contact Center -,"Maadi, Cairo, Egypt ",Full Time
HR Specialist,Deutschland Technology Limited -,"Obour City, Cairo, Egypt ",Full Time
Admin Assistant - ( Fluent English Speakers),London International Patient Services -,"Sheraton, Cairo, Egypt ",Full Time
receptionist,Confidential -,"New Cairo, Cairo, Egypt ",Full Time
Telesales Agent,Bnaia -,"Maadi, Cairo, Egypt ",Internship
Senior Front-End Developer,Bnaia -,"Maadi, Cairo, Egypt ",Full Time
IT Sales Specialist,Optimum Solutions -,"Cairo, Egypt ",Full Time
Motion Graphic Designer,Egypt Best Properties -,"New Cairo, Cairo, Egypt ",Full Time
Housekeeping Manager,International Organization for E-Tourism Industry IOETI -,"Gamaleya, Cairo, Egypt ",Full Time
Telesales Representative,Care Management Solutions -,"Maadi, Cairo, Egypt ",Full Time
Fleet Coordinator,L'azurde for Jewelry -,"Obour City, Cairo, Egypt ",Full Time
Financial Manager,El Alfy Group -,"Maadi, Cairo, Egypt ",Full Time
Medical Network Coordinator,Connex Assistance Middle East -,"6th of October, Giza, Egypt ",Full Time
Junior Project Manager - New Businesses,InstaShop -,"Smouha, Alexandria, Egypt ",Full Time
Business Development associate,InstaShop -,"Katameya, Cairo, Egypt ",Full Time
E-commerce Photo Editor (Retoucher),InstaShop -,"Katameya, Cairo, Egypt ",Full Time
Business Analyst Advisor,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt ",Full Time
Tender / Contracts Civil Engineer,TECTRA -,"6th of October, Giza, Egypt ",Full Time
Back Office Specialist,Professional Service - Proserv -,"Maadi, Cairo, Egypt ",Full Time
Human Resources Operations Officer,Confidential -,"Ameria, Alexandria, Egypt ",Full Time
Structural technical office engineer BIM,TECTRA -,"6th of October, Giza, Egypt ",Full Time
Site & Project Engineer,Sanam Engineering Industries  -,"10th of Ramadan City, Sharqia, Egypt ",Full Time
Sales Engineer,Sanam Engineering Industries  -,"10th of Ramadan City, Sharqia, Egypt ",Full Time
Architecture technical office engineer-BIM,TECTRA -,"6th of October, Giza, Egypt ",Full Time
Design Architect,Burger King -,"Cairo, Egypt ",Full Time
